sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
23,8.079141,0.000000,9.137229,1.795426,5.032784,15.672258,11.001019,5.336607,8.891651,0.518151,0.669386,2.832302,4.891306,4.214281,49.779362,9.229734,23.395943,1.929248,14.348566,14.857984,7.223269,0.178354,1.651736,1.358638,11.465845,1.501866,1.289182,5.485813,1.779016,6.021839,3.491820,5.255640,8.629820,24.794641,1.600327,1.398380,1.621505,7.081384,3.927194,6.920888,8.338487,1.236588,1.048892,0.986912,9.533900,5.878820
24,7.891338,0.000000,9.078207,1.976868,5.325978,15.901314,10.864321,5.337788,9.209374,0.517655,0.673262,3.304503,4.902613,4.224377,49.924591,9.259366,23.455275,2.001557,13.074017,13.853366,6.723837,1.279460,1.654281,1.359986,12.793798,1.502839,1.288887,5.461109,1.777494,6.004933,3.584749,5.125268,8.553894,20.785070,1.562080,1.356832,1.429276,6.997213,3.672398,7.279324,8.677758,1.145687,0.975594,0.815215,9.673316,5.881537
25,7.578649,0.000000,8.948827,2.162315,5.592833,15.959517,10.486374,5.109636,9.777377,0.518124,0.664415,4.130194,4.875307,4.199775,49.548252,9.188705,23.316662,2.067903,12.743856,13.625245,6.702565,2.250607,1.647571,1.356195,12.600027,1.500712,1.288149,5.515060,1.782074,6.041075,3.623884,4.945154,8.499662,16.387762,1.462728,1.262155,1.422120,6.781611,3.630919,7.876651,8.887460,1.046136,0.854878,0.823096,9.919663,6.095987
26,7.171355,0.000000,8.806460,2.355278,5.703037,15.993552,10.090588,4.884269,10.244156,0.568240,0.664647,5.192202,4.876606,4.200812,49.576889,9.191867,23.325542,2.053608,12.044504,13.156255,6.448573,2.989520,1.647962,1.356353,13.228317,1.500792,1.288345,5.515880,1.781983,6.041487,3.693471,4.850756,8.282938,11.341925,1.375774,1.173953,1.422362,6.978373,3.506149,8.426989,9.222074,0.990138,0.817198,0.654375,10.208586,6.096845
27,6.687607,0.000000,8.601258,2.502205,5.641528,15.762161,9.393064,4.433245,10.896025,0.568271,0.663880,5.539927,4.874451,4.198547,49.529827,9.185791,23.316433,2.070169,11.819592,13.124235,6.445544,3.798082,1.774167,1.504008,12.043502,1.500933,1.288045,5.522079,1.782292,6.044004,3.758579,4.672213,7.916016,5.887920,1.222102,1.041391,1.226756,7.294554,3.433289,8.957723,9.554620,0.952124,0.778851,0.655093,10.507689,5.880230
28,6.098862,0.000000,8.397544,2.592612,5.520943,15.682639,8.942207,4.207153,11.452604,0.568003,0.662628,5.630265,4.871173,4.194797,49.516056,9.177705,23.307138,2.139030,11.479056,13.092812,6.440964,4.530086,1.773362,1.503697,12.472661,1.501092,1.288540,5.532005,1.782755,6.051250,3.759600,4.571860,7.538231,0.110614,1.025067,0.819342,1.029875,7.190680,3.497452,9.530684,9.890446,0.932586,0.739933,0.656659,10.813292,5.879220
29,5.465447,0.000000,8.224669,2.627612,5.364487,15.641291,8.522315,3.984051,11.759913,0.567490,0.670394,5.522824,4.895119,4.216194,49.830189,9.238571,23.426271,2.131190,10.988785,13.006915,6.205812,5.248077,1.779224,1.507079,12.217164,1.502530,1.288328,5.482625,1.778829,6.019268,3.700936,4.385293,7.128375,5.739986,0.774925,0.604025,0.644936,7.166957,3.729187,10.085397,10.198657,0.844501,0.669681,0.481310,11.103392,5.883661
30,4.779174,0.000000,7.934710,2.704285,5.175530,15.585815,8.084702,3.974850,12.368770,0.568302,0.642390,5.365500,4.814301,4.142397,48.805965,9.027834,23.021748,2.157076,10.708720,12.968059,6.392855,5.920004,1.758550,1.496952,12.472690,1.497895,1.288458,5.648764,1.791387,6.131122,3.570858,4.183436,7.154941,11.267784,0.607746,0.406719,0.622026,7.477550,3.705057,11.010620,10.500617,0.714227,0.536121,0.505687,11.524149,6.084393
31,4.297443,0.000000,7.862637,2.703001,4.979947,15.789376,8.039934,3.754775,12.147081,0.568126,0.658890,5.719803,4.862823,4.185993,49.426754,9.152107,23.262609,2.115035,9.832947,12.768231,6.178774,6.539307,1.897460,1.651345,11.245659,1.500744,1.288259,5.551667,1.784179,6.066383,3.561198,3.948020,6.981674,16.540863,0.520289,0.329842,0.440030,7.915335,3.501388,11.666009,10.767982,0.669065,0.472184,0.322906,11.787214,5.665189
32,3.792574,0.000000,7.623624,2.777052,4.805779,16.007574,7.976180,3.748142,12.394314,0.618745,0.638842,6.490119,4.805950,4.133994,48.713043,9.002090,22.973587,2.041186,9.846557,12.780748,6.131086,7.052608,1.945995,1.644380,11.505168,1.497027,1.288423,5.666697,1.792093,6.144619,3.636786,3.645216,7.211599,20.950333,0.494803,0.315338,0.423314,7.123572,3.568707,12.429139,10.881833,0.543856,0.344236,0.339904,12.247056,5.652001
