bone,metric,v14_ep001,v14_ep002,v14_ep003,v14_ep004,v14_delta_ep004_ep001,v15_ep001,v15_ep002,v15_ep003,v15_ep004,v15_delta_ep004_ep001,ep004_v15_minus_v14,delta_v15_minus_v14
lowerarm_l,AngVelDirDeg,3.2657438278198243,0.48585727214813235,0.6277887225151062,0.8360068678855896,-2.4297369599342344,2.657494401931763,0.6558643341064453,0.9940688610076904,1.116590976715088,-1.540903425216675,0.28058410882949825,0.8888335347175595
lowerarm_r,GeoDeg,0.6809040427207946,0.43327983617782595,0.6558020353317261,0.8112252593040467,0.13032121658325202,2.420524311065674,0.3320893466472626,0.47534215450286865,0.3251232862472534,-2.0954010248184205,-0.48610197305679326,-2.2257222414016726
lowerarm_r,GeoLocalDeg,0.7118567109107972,0.4863123893737793,0.6383054375648498,0.8448296070098877,0.13297289609909058,2.593573522567749,0.4374557375907898,0.4607836902141571,0.34042441844940186,-2.2531491041183473,-0.5044051885604859,-2.386122000217438
lowerarm_r,AngVelMAE,0.0756634920835495,0.02617555409669876,0.01714993454515934,0.014381094835698605,-0.061282397247850895,0.062489719688892366,0.02640133909881115,0.02063545249402523,0.017510253190994262,-0.04497946649789811,0.0031291583552956574,0.016302930749952788
lowerarm_r,AngVelMagMAE,0.07335671335458756,0.02838616631925106,0.018085860833525657,0.01863389424979687,-0.05472281910479069,0.0634365476667881,0.023899151384830473,0.020030788704752923,0.02072474770247936,-0.042711799964308746,0.0020908534526824923,0.012011019140481943
lowerarm_r,AngVelMagRel,0.060239598900079724,0.025341652706265448,0.015706471726298334,0.017390450835227965,-0.04284914806485176,0.05736208111047745,0.02197601944208145,0.018152228370308877,0.02101067528128624,-0.036351405829191205,0.0036202244460582754,0.006497742235660554
lowerarm_r,AngVelDirDeg,0.7118567109107972,0.4863123893737793,0.6383054375648498,0.8448296070098877,0.13297289609909058,2.593573522567749,0.4374557375907898,0.4607836902141571,0.34042441844940186,-2.2531491041183473,-0.5044051885604859,-2.386122000217438
pelvis,GeoDeg,0.3573412001132965,0.2505971670150757,0.18952580392360688,0.1601986527442932,-0.1971425473690033,0.5612132906913757,0.23474666774272918,0.15323325395584106,0.14065731465816497,-0.4205559760332107,-0.019541338086128235,-0.2234134286642074
pelvis,GeoLocalDeg,6.704416481619763e-14,6.196066337955941e-14,6.582583463770122e-14,6.201100695218606e-14,-5.033157864011567e-15,6.211113641094689e-14,6.693737767847139e-14,6.069234944803236e-14,6.769905409919133e-14,5.587917688244443e-15,5.688047147005268e-15,1.062107555225601e-14
pelvis,AngVelMAE,2.8270492365275664e-14,2.5922630199088498e-14,2.7169053411126715e-14,2.5482460041278792e-14,-2.788032323996872e-15,2.5805385253782274e-14,2.6797855452146033e-14,2.5631903080602404e-14,2.7950192954908673e-14,2.1448077011263986e-15,2.467732913629881e-15,4.9328400251232705e-15
pelvis,AngVelMagMAE,5.358525174145937e-14,4.734243460582585e-14,5.0612748855264486e-14,4.576451048091297e-14,-7.820741260546397e-15,4.7609463436513664e-14,5.123757456726788e-14,4.676489162819091e-14,5.293976045842204e-14,5.330297021908376e-15,7.175249977509068e-15,1.3151038282454773e-14
pelvis,AngVelMagRel,,,,,,,,,,,,
pelvis,AngVelDirDeg,6.704416481619763e-14,6.196066337955941e-14,6.582583463770122e-14,6.201100695218606e-14,-5.033157864011567e-15,6.211113641094689e-14,6.693737767847139e-14,6.069234944803236e-14,6.769905409919133e-14,5.587917688244443e-15,5.688047147005268e-15,1.062107555225601e-14
thigh_l,GeoDeg,11.092083930969238,2.1423544883728027,0.7829722762107849,1.558610701560974,-9.533473229408264,3.8446444988250734,1.3010902881622315,1.2297476053237915,1.0346662998199463,-2.809978199005127,-0.5239444017410277,6.723495030403137
thigh_l,GeoLocalDeg,11.01989803314209,2.2141433715820313,0.8299317240715027,1.5507219791412354,-9.469176054000854,3.9945525169372558,1.3686226606369019,1.3164622783660889,1.0933252453804017,-2.901227271556854,-0.4573967337608338,6.567948782444001
thigh_l,AngVelMAE,0.09662843495607376,0.03908791318535805,0.021636753529310226,0.028451265767216682,-0.06817716918885708,0.07680649012327194,0.0362895704805851,0.023617296293377877,0.021366483345627785,-0.05544000677764416,-0.007084782421588897,0.012737162411212921
thigh_l,AngVelMagMAE,0.13100355714559556,0.05948916003108025,0.03560335338115692,0.05000696554780006,-0.08099659159779549,0.09363469779491425,0.051727300882339476,0.03419899418950081,0.03372069746255875,-0.0599140003323555,-0.016286268085241314,0.021082591265439987
thigh_l,AngVelMagRel,0.10971166342496871,0.052414176613092424,0.03158031292259693,0.04057137593626976,-0.06914028748869895,0.0787694737315178,0.04829816222190857,0.026307595148682594,0.025963498279452324,-0.05280597545206547,-0.014607877656817439,0.016334312036633478
thigh_l,AngVelDirDeg,11.01989803314209,2.2141433715820313,0.8299317240715027,1.5507219791412354,-9.469176054000854,3.9945525169372558,1.3686226606369019,1.3164622783660889,1.0933252453804017,-2.901227271556854,-0.4573967337608338,6.567948782444001
thigh_r,GeoDeg,2.6387513637542725,1.5563388347625733,0.9760937809944152,0.6804160714149475,-1.9583352923393251,4.570522785186768,1.8460192441940309,1.1033393383026122,0.9807878255844116,-3.589734959602356,0.30037175416946404,-1.6313996672630307
thigh_r,GeoLocalDeg,2.5173768997192383,1.491194248199463,1.0312046885490418,0.6618605613708496,-1.8555163383483886,4.801232814788818,1.8769425392150878,1.0477990627288818,1.0010973691940308,-3.8001354455947878,0.3392368078231812,-1.9446191072463992
thigh_r,AngVelMAE,0.05915725603699684,0.02908991239964962,0.0160607498139143,0.014687981829047203,-0.04446927420794964,0.07150877714157104,0.034933813661336896,0.023976872488856316,0.019065890833735465,-0.05244288630783558,0.004377909004688261,-0.007973612099885938
thigh_r,AngVelMagMAE,0.10200212001800538,0.04454513043165207,0.021885554865002634,0.0241212148219347,-0.07788090519607067,0.11005759239196777,0.05698565319180489,0.03975451961159706,0.030024009197950362,-0.0800335831940174,0.0059027943760156625,-0.002152677997946731
thigh_r,AngVelMagRel,0.07457151710987091,0.04136465713381767,0.016934037394821643,0.019527669250965118,-0.05504384785890579,0.1055692732334137,0.05375514104962349,0.036312761902809146,0.026762287318706512,-0.07880698591470718,0.007234618067741394,-0.023763138055801394
thigh_r,AngVelDirDeg,2.5173768997192383,1.491194248199463,1.0312046885490418,0.6618605613708496,-1.8555163383483886,4.801232814788818,1.8769425392150878,1.0477990627288818,1.0010973691940308,-3.8001354455947878,0.3392368078231812,-1.9446191072463992
upperarm_l,GeoDeg,3.074105978012085,0.9709098696708679,0.8845689773559571,0.6107478737831116,-2.4633581042289734,2.246550750732422,1.051234817504883,0.6047255039215088,0.5452816247940063,-1.7012691259384156,-0.06546624898910525,0.7620889782905578
upperarm_l,GeoLocalDeg,2.997627305984497,1.1222577810287475,0.9035225868225097,0.6456845283508301,-2.351942777633667,2.6665745258331297,1.0437604665756226,0.6199577569961547,0.5526998400688171,-2.1138746857643125,-0.092984688282013,0.23806809186935451
upperarm_l,AngVelMAE,0.06786980479955673,0.022665954753756525,0.016348820924758912,0.013208441250026227,-0.05466136354953051,0.0483002319931984,0.02261257655918598,0.01854420006275177,0.016418298706412315,-0.03188193328678608,0.0032098574563860886,0.022779430262744427
upperarm_l,AngVelMagMAE,0.0712841048836708,0.023286522552371024,0.015383512526750565,0.012420633994042873,-0.05886347088962793,0.053731948137283325,0.02481231912970543,0.0212550800293684,0.01667201742529869,-0.037059930711984636,0.004251383431255817,0.021803540177643292
upperarm_l,AngVelMagRel,0.08209906071424485,0.02954259030520916,0.02003294937312603,0.015602684020996094,-0.06649637669324875,0.06435011103749275,0.02907240092754364,0.024375040829181672,0.018163125216960906,-0.04618698582053184,0.002560441195964812,0.02030939087271691
upperarm_l,AngVelDirDeg,2.997627305984497,1.1222577810287475,0.9035225868225097,0.6456845283508301,-2.351942777633667,2.6665745258331297,1.0437604665756226,0.6199577569961547,0.5526998400688171,-2.1138746857643125,-0.092984688282013,0.23806809186935451
