bone,metric,v14_ep001,v14_ep002,v14_ep003,v14_ep004,v14_ep005,v14_ep006,v14_ep007,v14_ep008,v14_ep009,v14_delta_ep009_ep001,v14_delta_ep009_ep004,v14_best_ep,v14_best_val,v15_ep001,v15_ep002,v15_ep003,v15_ep004,v15_ep005,v15_ep006,v15_ep007,v15_ep008,v15_ep009,v15_delta_ep009_ep001,v15_delta_ep009_ep004,v15_best_ep,v15_best_val,ep009_v15_minus_v14
calf_r,AngVelMagRel,0.08813224285840988,0.04163448140025139,0.02384532429277897,0.014437647350132466,0.021803000196814536,0.016050364077091216,0.01552849393337965,0.019796352460980417,0.024534708261489867,-0.06359753459692002,0.0100970609113574,4,0.014437647350132466,0.15062407851219178,0.061298389732837674,0.02813616693019867,0.020180538669228552,0.015383957326412201,0.016204882971942426,0.024763160571455955,0.0297920361161232,0.03001883290708065,-0.12060524560511113,0.009838294237852097,5,0.015383957326412201,0.005484124645590782
calf_r,AngVelDirDeg,2.192739725112915,0.8213912725448609,1.014811110496521,0.6108253479003907,0.37706695795059203,0.5423629760742188,0.4752970695495605,0.6487931966781616,0.656373918056488,-1.536365807056427,0.04554857015609737,5,0.37706695795059203,3.591936540603638,1.628257656097412,0.6310726046562195,0.4987818658351898,0.7786505818367004,0.828601598739624,0.6062249064445495,0.5606466412544251,0.5670685410499573,-3.0248679995536807,0.0682866752147675,4,0.4987818658351898,-0.08930537700653074
foot_l,GeoDeg,1.8522197484970093,1.1009698390960694,0.48689740896224976,0.7476590752601624,1.15166916847229,0.660060465335846,0.6457311034202575,0.7485714673995971,0.7283514022827149,-1.1238683462142944,-0.01930767297744751,3,0.48689740896224976,2.402152442932129,1.3783769130706787,1.1856111526489257,0.6864728212356568,0.6434138417243958,0.5353530049324036,0.39888245463371275,0.3432401239871979,0.44316917657852173,-1.958983266353607,-0.24330364465713505,8,0.3432401239871979,-0.28518222570419316
foot_l,GeoLocalDeg,1.7865983486175536,1.1835817575454712,0.4919962704181671,0.7984165549278259,1.1543312311172484,0.7256546378135681,0.6794248223304749,0.7505079627037048,0.7444164156913757,-1.042181932926178,-0.054000139236450195,3,0.4919962704181671,2.383356237411499,1.5295568227767944,1.158461904525757,0.7159051895141602,0.7643583178520202,0.606291925907135,0.5012577474117279,0.44545950293540953,0.4271599054336548,-1.9561963319778441,-0.28874528408050537,9,0.4271599054336548,-0.31725651025772095
foot_l,AngVelMAE,0.06879708468914032,0.033463864028453826,0.0188664510846138,0.01818404272198677,0.022818411514163018,0.02529477924108505,0.030151353776454927,0.03371186405420303,0.03701382502913475,-0.03178325966000557,0.01882978230714798,4,0.01818404272198677,0.05814829170703888,0.024679986014962196,0.022560476884245874,0.019004909321665764,0.01823849081993103,0.019483426585793495,0.020887751132249832,0.02389751821756363,0.029827818647027014,-0.028320473060011862,0.01082290932536125,5,0.01823849081993103,-0.007186006382107736
foot_l,AngVelMagMAE,0.09025290906429291,0.04269620701670647,0.02529197447001934,0.02662941887974739,0.030712074413895608,0.036856935173273084,0.04422479495406151,0.05163915753364563,0.05774356946349144,-0.03250933960080147,0.03111415058374405,3,0.02529197447001934,0.05762514919042587,0.025333835929632186,0.023080166801810263,0.025625063106417656,0.02590188607573509,0.028461745753884316,0.031044428795576097,0.037656784802675244,0.04782928451895714,-0.00979586467146873,0.022204221412539485,3,0.023080166801810263,-0.0099142849445343
foot_l,AngVelMagRel,0.0547104112803936,0.024728533625602723,0.017247837409377097,0.017089739069342615,0.020086685195565224,0.023015695065259932,0.026032066717743874,0.03223730213940144,0.035273177921772,-0.019437233358621596,0.018183438852429387,4,0.017089739069342615,0.031185236200690268,0.014602456614375115,0.013467871583998203,0.016223638132214547,0.01625527273863554,0.01940481401979923,0.018202496320009233,0.020503611117601395,0.027481353655457497,-0.0037038825452327707,0.01125771552324295,3,0.013467871583998203,-0.0077918242663145044
foot_l,AngVelDirDeg,1.7865983486175536,1.1835817575454712,0.4919962704181671,0.7984165549278259,1.1543312311172484,0.7256546378135681,0.6794248223304749,0.7505079627037048,0.7444164156913757,-1.042181932926178,-0.054000139236450195,3,0.4919962704181671,2.383356237411499,1.5295568227767944,1.158461904525757,0.7159051895141602,0.7643583178520202,0.606291925907135,0.5012577474117279,0.44545950293540953,0.4271599054336548,-1.9561963319778441,-0.28874528408050537,9,0.4271599054336548,-0.31725651025772095
foot_r,GeoDeg,2.9200583934783935,1.0437001705169677,0.47152836322784425,0.7169243693351746,0.30277588963508606,0.5373297452926635,0.361877965927124,0.4847335875034332,0.3755738019943237,-2.54448459148407,-0.34135056734085084,5,0.30277588963508606,2.7367696285247805,0.6549858093261719,0.6231787323951721,0.41505427956581115,0.6625195264816284,0.44718841314315794,0.4884879171848297,0.4571194589138031,0.5449253439903259,-2.1918442845344543,0.12987106442451474,4,0.41505427956581115,0.16935154199600216
foot_r,GeoLocalDeg,2.925782346725464,1.005243182182312,0.4259811222553253,0.7613206744194031,0.2802636682987213,0.529329800605774,0.3217006802558899,0.4638119637966156,0.38195690512657166,-2.543825441598892,-0.37936376929283144,5,0.2802636682987213,3.1585168838500977,0.6819906830787659,0.560122287273407,0.40755552649497984,0.6309620022773743,0.3845925390720367,0.5496943891048431,0.5272331833839417,0.5793724298477173,-2.5791444540023805,0.17181690335273747,6,0.3845925390720367,0.19741552472114565
