sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
49,0.260608,0.143654,0.175718,0.171185,0.191305,0.335370,0.177420,0.260045,0.358640,0.083773,0.114779,0.245594,0.174022,0.228439,0.247470,0.354611,0.303002,0.287430,0.522194,0.238089,0.226390,0.286311,0.210793,0.197166,0.328356,0.312993,0.364630,0.349989,0.396262,0.280591,0.280994,0.216276,0.404545,0.264451,0.179394,0.109793,0.167621,0.240362,0.349965,0.288886,0.179804,0.148157,0.192410,0.136457,0.401572,0.510860
50,0.193573,0.155376,0.223472,0.129099,0.165655,0.355488,0.210413,0.261388,0.355950,0.123502,0.100880,0.200636,0.191090,0.223839,0.235692,0.318896,0.302288,0.270819,0.261519,0.127492,0.225268,0.293512,0.189457,0.210029,0.255318,0.309518,0.374018,0.355795,0.428640,0.291006,0.246153,0.214750,0.401882,0.359622,0.141798,0.125940,0.122182,0.098705,0.276070,0.258696,0.370765,0.155205,0.194183,0.216782,0.596255,0.304382
51,0.258453,0.157864,0.198667,0.146910,0.166469,0.522877,0.312112,0.294271,0.388627,0.149430,0.084401,0.305610,0.231209,0.229591,0.239450,0.351252,0.288826,0.247112,0.410871,0.288896,0.226319,0.320348,0.195481,0.168886,0.293456,0.320066,0.358149,0.368172,0.418347,0.297585,0.268123,0.245672,0.553717,0.229616,0.174492,0.134558,0.150263,0.193593,0.218143,0.342619,0.501646,0.162256,0.201819,0.130742,0.459806,0.284424
52,0.281791,0.167510,0.222090,0.207387,0.200261,0.449997,0.235734,0.247130,0.411581,0.170386,0.108606,0.239771,0.242240,0.215294,0.255253,0.345401,0.265603,0.231591,0.277321,0.189670,0.196504,0.296156,0.234566,0.159200,0.217646,0.329382,0.377086,0.424318,0.430974,0.322283,0.288407,0.196442,0.472401,0.262496,0.196089,0.152470,0.206809,0.381983,0.263208,0.304893,0.134723,0.236388,0.236635,0.268709,0.771796,1.295516
53,0.348636,0.188601,0.250092,0.216541,0.211310,0.494704,0.215560,0.244542,0.472353,0.186105,0.091685,0.144908,0.225287,0.256011,0.297092,0.349503,0.261144,0.209949,0.274009,0.173508,0.194599,0.215079,0.224463,0.151751,0.267034,0.327308,0.377292,0.383949,0.392138,0.318660,0.323648,0.225350,0.487180,0.300903,0.205601,0.182503,0.113770,0.473676,0.236772,0.405269,0.155746,0.216265,0.189128,0.267466,2.039394,2.360182
54,0.334746,0.176869,0.306257,0.189779,0.172784,0.569313,0.243330,0.248408,0.398664,0.161983,0.120993,0.242273,0.218827,0.259450,0.298500,0.375646,0.278669,0.214001,0.306872,0.180258,0.243621,0.259829,0.219655,0.156174,0.239988,0.317923,0.370228,0.353758,0.416902,0.299277,0.340097,0.232360,0.390454,0.220799,0.186799,0.160626,0.109450,0.204844,0.311408,0.373608,0.714269,0.194888,0.141871,0.138666,1.021227,0.608088
55,0.397122,0.172175,0.429195,0.293494,0.149313,0.500156,0.182133,0.251249,0.596589,0.134792,0.118138,0.245466,0.210822,0.259037,0.305414,0.377866,0.284117,0.237073,0.610032,0.238139,0.203251,0.239628,0.206185,0.176852,0.346474,0.319610,0.346446,0.326901,0.400542,0.318066,0.319717,0.222405,0.438110,0.299555,0.170476,0.165320,0.124452,0.172800,0.267712,0.354327,0.185771,0.206086,0.138192,0.166148,1.469945,0.593600
56,0.315201,0.189535,0.143568,0.188831,0.146442,0.597521,0.194900,0.226599,0.355209,0.089040,0.113415,0.222147,0.195092,0.240788,0.337070,0.390489,0.284071,0.262086,0.439895,0.270879,0.261660,0.353307,0.203446,0.179191,0.304825,0.330259,0.301298,0.322574,0.415559,0.296821,0.320539,0.232553,0.504570,0.243959,0.146969,0.108067,0.129556,0.162115,0.281003,0.361956,0.148552,0.152884,0.158890,0.119535,1.116314,0.405753
57,0.236783,0.171179,0.144969,0.231818,0.154832,0.600494,0.207370,0.270906,0.347434,0.114072,0.118284,0.234948,0.194470,0.232402,0.316981,0.326185,0.284986,0.265741,0.473036,0.269237,0.188038,0.343594,0.197166,0.206288,0.300625,0.317477,0.315606,0.363233,0.404312,0.354470,0.332813,0.201976,0.404496,0.358035,0.132324,0.130397,0.135626,0.140550,0.371644,0.328243,0.198064,0.165375,0.192537,0.104926,0.786826,0.488411
58,0.208734,0.173546,0.214566,0.300078,0.179010,0.487350,0.374112,0.292555,0.389776,0.104453,0.155341,0.193042,0.178430,0.236276,0.306334,0.309325,0.308590,0.285578,0.293297,0.164380,0.203277,0.307442,0.204038,0.236311,0.328969,0.301322,0.318877,0.397522,0.427780,0.376777,0.357784,0.223277,0.429982,0.380822,0.128786,0.114800,0.208351,0.516933,0.892359,0.221978,0.257975,0.226346,0.270927,0.278258,0.867548,0.339843
