sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
23,0.211782,0.181410,0.180054,0.248992,0.164183,0.444212,0.712455,0.352310,0.709838,0.111987,0.101284,0.319887,0.166562,0.244609,0.329007,0.369772,0.114855,0.147169,0.208986,0.198733,0.124566,0.080119,0.102404,0.165576,0.530829,0.316393,0.262054,0.187593,0.407428,0.386822,0.404893,0.256047,0.547125,0.271740,0.216227,0.147319,0.180804,0.206854,0.354304,0.185216,0.147918,0.110181,0.121462,0.242074,0.467630,0.261869
24,0.195910,0.165168,0.160665,0.278424,0.277211,0.296636,0.730074,0.408879,0.825771,0.106973,0.093446,0.108344,0.160905,0.228366,0.335037,0.348188,0.114019,0.139470,0.620294,0.759865,0.417199,0.163326,0.118811,0.182769,0.935968,0.309050,0.258891,0.169806,0.388395,0.419288,0.356181,0.169673,0.357527,0.273689,0.246769,0.121722,0.222748,0.206125,0.178271,0.231185,0.140726,0.116925,0.113948,0.168132,0.407118,0.306969
25,0.197564,0.192985,0.126827,0.301728,0.383986,0.203956,0.584954,0.309376,0.899640,0.146279,0.119357,0.347935,0.173872,0.247614,0.311302,0.298635,0.127480,0.224927,0.368417,0.589130,0.290493,0.155356,0.154214,0.230879,0.648747,0.269724,0.243711,0.222781,0.385209,0.404108,0.288869,0.234728,0.451228,0.194028,0.225862,0.124928,0.182831,0.691955,0.249559,0.206664,0.178446,0.163599,0.141881,0.227350,0.322729,0.369131
26,0.186616,0.168971,0.200108,0.175265,0.489159,0.307443,0.465891,0.211614,0.691164,0.099116,0.109028,0.940870,0.167609,0.216519,0.295594,0.281184,0.133752,0.231664,0.491432,0.652720,0.323190,0.109074,0.175447,0.251889,1.353826,0.277141,0.236138,0.211684,0.397320,0.384360,0.210533,0.228938,0.609333,1.001624,0.220932,0.122777,0.174006,0.747265,0.470288,0.205492,0.149671,0.169993,0.117903,0.170076,0.341299,0.327181
27,0.261124,0.149887,0.290672,0.188477,0.341015,0.263000,0.108440,0.195880,0.265854,0.101979,0.105248,0.453245,0.208531,0.208913,0.287333,0.284566,0.171091,0.173180,0.211099,0.168351,0.088301,0.247519,0.121808,0.177906,0.421941,0.285757,0.237180,0.183723,0.386094,0.400838,0.226568,0.257719,0.567387,2.436495,0.202810,0.104027,0.170144,0.371107,0.862579,0.242107,0.185178,0.164742,0.101442,0.196165,0.441760,0.265618
28,0.246133,0.140574,0.313605,0.182054,0.282594,0.493374,0.209252,0.258831,0.239274,0.151351,0.125568,0.394584,0.200616,0.241459,0.290662,0.285519,0.143383,0.106358,0.114910,0.170067,0.059125,0.105735,0.099031,0.204583,0.513618,0.270186,0.218369,0.178975,0.423144,0.416487,0.198597,0.294958,0.514081,0.803250,0.126283,0.167658,0.175330,0.507852,0.395294,0.385367,0.272638,0.150184,0.090026,0.232574,0.474589,0.290693
29,0.509298,0.122660,0.359738,0.236392,0.201302,0.720740,0.413435,0.378833,0.512450,0.145649,0.111577,0.450895,0.213680,0.241177,0.282898,0.302647,0.153824,0.108541,0.076928,0.112723,0.195658,0.168985,0.114539,0.231266,0.367302,0.282626,0.210440,0.153709,0.403735,0.411613,0.202400,0.237035,0.580731,0.325745,0.100988,0.302227,0.397482,1.135358,0.678553,0.565317,0.276626,0.192419,0.108376,0.150432,0.462700,0.328819
30,0.082223,0.177987,0.195600,0.083506,0.351237,0.699462,0.200487,0.060955,0.422289,0.184161,0.178361,0.630466,0.128236,0.242325,0.316123,0.348294,0.085650,0.254405,0.236240,0.267106,0.053734,0.165253,0.119220,0.226269,1.156319,0.237507,0.227516,0.253699,0.447271,0.335206,0.315561,0.232397,0.963848,0.371775,0.101240,0.322588,0.217047,0.650147,0.355330,0.305543,0.185944,0.175686,0.086788,0.195992,0.469515,0.270823
31,0.351622,0.142251,0.199885,0.143879,0.257544,0.548612,0.178955,0.267218,0.329655,0.105297,0.096471,1.104076,0.130409,0.204320,0.290235,0.391012,0.161077,0.150133,0.346267,0.163309,0.121617,0.117021,0.094570,0.107401,0.679951,0.274576,0.160526,0.164292,0.411338,0.355457,0.482973,0.362209,1.896951,1.358205,0.185314,0.395341,0.379820,3.746852,0.587265,0.338713,0.217369,0.159128,0.083465,0.130731,0.696831,0.554494
32,0.316781,0.195771,0.188509,0.129879,0.223787,0.362334,0.266847,0.087630,0.268572,0.114268,0.105900,0.363412,0.122132,0.239536,0.315512,0.376078,0.157149,0.240152,0.104522,0.274189,0.157335,0.136544,0.088953,0.154211,0.376840,0.241161,0.230634,0.221390,0.387618,0.339294,0.395702,0.232136,2.209080,2.909467,0.097428,0.272190,0.280657,2.718281,0.532963,0.391705,0.205103,0.176926,0.145000,0.165872,0.593844,0.440923
33,0.179450,0.186249,0.115969,0.087966,0.192390,0.359184,0.382037,0.102105,0.273960,0.142623,0.106412,0.384033,0.132042,0.261502,0.340990,0.370527,0.171449,0.195697,0.548045,0.542632,0.215113,0.306760,0.087618,0.183363,0.609951,0.290548,0.268440,0.224920,0.419506,0.356650,0.339856,0.172463,0.691772,0.913699,0.169578,0.118276,0.186845,1.469884,0.140859,0.307756,0.251846,0.122711,0.129648,0.138664,0.577328,0.291449
34,0.438250,0.220994,0.165264,0.119863,0.157252,0.384060,0.371704,0.091085,0.403864,0.130352,0.087247,0.205729,0.118419,0.255809,0.346700,0.371251,0.161324,0.203545,0.233229,0.349276,0.216513,0.150950,0.159861,0.243167,0.955671,0.277746,0.270449,0.248754,0.403333,0.348834,0.380556,0.210464,0.684602,0.723087,0.457631,0.273206,0.360047,1.708315,0.424141,0.510717,0.365014,0.104058,0.132283,0.227700,0.720048,0.499359
35,0.377714,0.201734,0.331637,0.146227,0.257496,0.284119,0.360564,0.086517,0.383531,0.127444,0.094172,0.174526,0.122607,0.272421,0.337844,0.361897,0.141121,0.194206,0.040375,0.463576,0.220038,0.205235,0.107826,0.227389,0.451773,0.289423,0.255000,0.218769,0.391378,0.385197,0.342834,0.429959,1.552870,0.739508,0.388817,0.182853,0.312977,1.917576,0.141732,0.240174,0.210440,0.157156,0.164019,0.120782,0.216050,0.480384
36,0.440252,0.201185,0.363533,0.140519,0.206794,0.251011,0.186029,0.086313,0.323959,0.110914,0.113483,0.204136,0.120299,0.279976,0.297690,0.376482,0.123942,0.179761,0.110355,0.488438,0.224901,0.175226,0.131441,0.217342,0.408159,0.275694,0.230401,0.240845,0.389786,0.376125,0.266729,0.395118,1.912659,0.866856,0.385160,0.161159,0.217155,3.142331,0.252941,0.339912,0.192597,0.185018,0.181544,0.172544,0.278796,0.465627
37,0.375419,0.204433,0.206229,0.088828,0.118214,0.249314,0.277337,0.109686,0.234384,0.143187,0.114458,0.396802,0.145501,0.278483,0.307293,0.351199,0.136557,0.267568,0.128546,0.376014,0.103456,0.272131,0.139898,0.240799,0.512909,0.287044,0.240207,0.240532,0.416836,0.370837,0.339254,0.370375,2.213770,0.981036,0.362689,0.177236,0.191625,4.681719,0.465295,0.617091,0.357617,0.139844,0.151292,0.164228,0.226239,0.469600
38,0.386768,0.175921,0.264469,0.105118,0.291105,0.281050,0.142907,0.111735,0.179524,0.095041,0.174938,0.241961,0.115754,0.285824,0.265426,0.352178,0.084381,0.132026,0.168625,0.424145,0.291321,0.086472,0.148061,0.217805,0.616993,0.287247,0.196404,0.243986,0.380548,0.407581,0.307097,0.280269,0.977983,0.305619,0.114399,0.228118,0.199740,1.666219,0.327624,0.289841,0.226011,0.168786,0.144839,0.179964,0.331918,0.375747
