sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
65,0.134455,0.157069,0.245232,0.118491,0.173270,0.618259,0.331648,0.143521,0.315432,0.153673,0.152690,0.558957,0.179732,0.290799,0.340478,0.342408,0.299701,0.160562,0.253608,0.321592,0.192366,0.405922,0.177649,0.180815,0.388614,0.252493,0.251877,0.325412,0.394166,0.333633,0.399050,0.228726,0.589214,0.363641,0.168994,0.207473,0.158133,0.516333,0.333989,0.379036,0.455145,0.180172,0.134167,0.215528,0.593878,0.417635
66,0.122247,0.161416,0.240660,0.112925,0.159451,0.628008,0.378534,0.150532,0.340706,0.146057,0.163128,0.280460,0.189125,0.305140,0.320141,0.351420,0.296761,0.166715,0.247502,0.331296,0.221541,0.238335,0.170961,0.176355,0.374440,0.255591,0.279704,0.331992,0.390523,0.336225,0.397913,0.221465,0.465444,0.447930,0.167739,0.205722,0.159845,0.457674,0.563213,0.236570,0.256258,0.232173,0.136613,0.227969,0.655994,0.439889
67,0.181411,0.159477,0.254986,0.103686,0.179959,0.416131,0.247991,0.201697,0.317801,0.141147,0.158464,0.274576,0.198406,0.310417,0.333415,0.336342,0.308107,0.188964,0.252607,0.324153,0.142438,0.164359,0.172974,0.170213,0.407674,0.256521,0.290137,0.334822,0.367467,0.330023,0.384474,0.209080,0.656968,0.773249,0.174526,0.214853,0.143479,0.480191,0.424773,0.250453,0.468587,0.220074,0.146932,0.211681,0.744645,0.262081
68,0.224575,0.165274,0.284288,0.156680,0.225380,0.358756,0.216087,0.108648,0.319144,0.137215,0.151108,0.252535,0.197850,0.307175,0.328745,0.329747,0.308194,0.223572,0.244185,0.315786,0.151620,0.185119,0.176248,0.158768,0.423045,0.250346,0.302848,0.324778,0.370418,0.317818,0.390315,0.231598,0.614285,0.738473,0.175358,0.215510,0.147136,0.489784,0.214071,0.288977,0.421704,0.223710,0.155328,0.215084,0.870259,0.248846
69,0.275220,0.159751,0.279900,0.172741,0.296646,0.424112,0.272740,0.172950,0.326829,0.127745,0.128639,0.218450,0.189934,0.277750,0.351163,0.303340,0.323816,0.265287,0.496829,0.284097,0.199637,0.164809,0.182028,0.167467,0.438889,0.236440,0.299146,0.330143,0.351327,0.303779,0.362242,0.199757,0.699892,0.660208,0.168899,0.219393,0.157995,0.465456,0.181350,0.386019,0.546972,0.163837,0.152042,0.211981,0.584284,0.261575
70,0.225445,0.155495,0.266315,0.260633,0.269712,0.446669,0.294910,0.151691,0.344379,0.125650,0.127237,0.186776,0.189915,0.274012,0.344087,0.319406,0.336218,0.286671,0.363335,0.275978,0.181079,0.190032,0.188213,0.176276,0.391571,0.239365,0.317583,0.358831,0.365640,0.298633,0.399834,0.218426,0.310218,0.365505,0.163245,0.238307,0.202509,0.382651,0.174514,0.370252,0.623487,0.141749,0.200538,0.228790,0.470748,0.257648
71,0.284003,0.144030,0.251103,0.272296,0.264061,0.428125,0.328866,0.141915,0.326217,0.123292,0.104903,0.176426,0.162734,0.240952,0.373544,0.311901,0.333883,0.229894,0.299892,0.213622,0.181389,0.306625,0.191505,0.200328,0.344655,0.244488,0.288542,0.367831,0.381641,0.289709,0.404283,0.207909,0.995891,2.103537,0.170663,0.232493,0.134971,0.902862,0.237021,0.591792,0.276552,0.190775,0.286793,0.251035,1.236529,0.295365
72,0.215607,0.166394,0.282360,0.177063,0.192067,0.317421,0.270243,0.148016,0.302585,0.117167,0.112797,0.340376,0.184050,0.238360,0.338476,0.319300,0.355491,0.243146,0.226165,0.252197,0.132234,0.355831,0.206788,0.181256,0.409162,0.216472,0.349856,0.391247,0.383051,0.274901,0.410892,0.245953,0.751477,1.295400,0.187340,0.231848,0.114219,0.612168,0.219136,0.773270,0.378234,0.181452,0.271312,0.265670,0.734886,0.261606
73,0.239568,0.204052,0.276297,0.123810,0.156905,0.359286,0.187816,0.108075,0.303147,0.128883,0.124996,0.390448,0.172916,0.246178,0.288211,0.356470,0.339025,0.215612,0.348928,0.321282,0.289652,0.415883,0.210750,0.151958,0.537774,0.197763,0.367016,0.372070,0.416299,0.276922,0.362973,0.198909,0.445321,0.657630,0.186159,0.199540,0.122291,0.445236,0.194642,0.799868,0.414641,0.171647,0.213421,0.227179,0.561517,0.254251
74,0.294456,0.167884,0.304566,0.354625,0.107900,0.338433,0.186521,0.136452,0.295198,0.133367,0.111908,0.551071,0.167447,0.220265,0.338065,0.324927,0.338111,0.166497,0.328224,0.211561,0.222279,0.366675,0.210250,0.186514,0.338613,0.228139,0.333258,0.369036,0.405405,0.267074,0.417414,0.310099,0.380867,0.255503,0.189045,0.231974,0.143213,0.399880,0.187049,0.749597,0.293773,0.152395,0.197897,0.232560,1.276365,0.276259
