sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
45,0.242566,0.237423,0.235759,0.287058,0.194241,0.564193,0.313769,0.318754,0.532615,0.154673,0.165926,0.250544,0.188417,0.377762,0.297977,0.293575,0.360285,0.238333,0.416875,0.272216,0.219060,0.468016,0.231502,0.156369,0.465720,0.305494,0.296105,0.244769,0.381861,0.423912,0.451479,0.223011,0.658481,0.741249,0.192759,0.151746,0.223628,0.779938,0.587557,0.490999,0.337622,0.188183,0.244967,0.204322,0.349797,0.313176
46,0.182522,0.183281,0.191178,0.185877,0.303059,0.653679,0.310568,0.331937,0.459443,0.148826,0.163929,0.203538,0.209126,0.356305,0.304607,0.394006,0.358759,0.201958,0.543197,0.200301,0.166084,0.268423,0.207071,0.160930,0.328052,0.219091,0.278363,0.299916,0.348240,0.287306,0.401851,0.243568,0.440024,0.252072,0.161923,0.161821,0.153726,0.560519,0.277951,0.332473,0.358528,0.108165,0.199356,0.128554,0.250209,1.231151
47,0.217448,0.212212,0.233991,0.172985,0.263671,0.499659,0.268088,0.316206,0.333666,0.116359,0.151864,0.257400,0.209281,0.321672,0.326287,0.398288,0.368647,0.202846,0.593775,0.222181,0.276319,0.261476,0.178773,0.168367,0.386445,0.275049,0.249036,0.322311,0.401795,0.377367,0.434109,0.201691,0.379431,0.232238,0.177688,0.172109,0.178750,0.684166,0.361896,0.338715,0.215311,0.109274,0.174942,0.104587,0.726069,0.390538
48,0.269044,0.144380,0.216279,0.249251,0.283225,0.536838,0.245535,0.328080,0.672650,0.128714,0.158533,0.219903,0.254338,0.328610,0.309128,0.356900,0.422407,0.246493,0.505080,0.301754,0.169907,0.357706,0.171038,0.177782,0.456752,0.255734,0.320743,0.258390,0.276115,0.333187,0.387390,0.319096,0.618681,0.355717,0.145309,0.162324,0.182039,0.782088,0.467570,0.584959,0.466576,0.280566,0.183655,0.308652,0.637834,0.568359
49,0.228229,0.191767,0.196810,0.315763,0.228747,0.822377,0.287708,0.283875,0.706671,0.144596,0.134032,0.222792,0.178562,0.345092,0.293059,0.323846,0.423751,0.271452,0.680738,0.563211,0.124699,0.290071,0.228411,0.146446,0.483837,0.265943,0.324645,0.262396,0.348740,0.371924,0.360454,0.268390,0.522341,0.383318,0.167994,0.173124,0.220401,0.637289,0.442888,0.468125,0.260058,0.230444,0.181180,0.255026,0.451368,0.486341
50,0.219492,0.210021,0.178242,0.243603,0.234557,0.623429,0.236597,0.242569,0.499946,0.186522,0.137542,0.200349,0.182697,0.313015,0.281550,0.299795,0.415333,0.270147,0.545148,0.301016,0.207040,0.293566,0.240591,0.132101,0.468040,0.215698,0.312053,0.291236,0.361895,0.369836,0.419192,0.271970,0.749574,0.297919,0.171546,0.170338,0.232442,0.523215,0.310535,0.429049,0.300717,0.174849,0.190092,0.133565,0.551310,0.479423
51,0.310951,0.232919,0.319229,0.255685,0.202254,0.795380,0.241601,0.208371,0.452227,0.185688,0.189630,0.319980,0.138625,0.313170,0.337246,0.374272,0.361617,0.251118,0.769036,0.392241,0.166773,0.288294,0.226070,0.129191,0.417728,0.195164,0.354439,0.306117,0.355492,0.354188,0.329524,0.255369,0.983723,0.699382,0.212788,0.165890,0.176372,0.500213,0.263529,0.541071,0.913965,0.183314,0.373704,0.128540,1.763915,0.704133
52,0.258463,0.229745,0.232167,0.312653,0.247420,0.906900,0.323764,0.352216,0.967310,0.183451,0.157835,0.330224,0.193591,0.315615,0.369519,0.417652,0.358874,0.306423,0.644772,0.132387,0.275826,0.363341,0.235044,0.138479,0.427996,0.257030,0.360977,0.268251,0.390487,0.461432,0.416412,0.246295,1.040821,0.605992,0.214431,0.165213,0.211429,0.499467,0.196747,0.431749,1.226745,0.138242,0.384275,0.132969,0.963910,2.423899
53,0.263737,0.211823,0.227264,0.377788,0.240211,1.268022,0.393599,0.354689,0.771818,0.170030,0.165192,0.676116,0.239370,0.338895,0.300896,0.361411,0.387202,0.269136,0.659516,0.130753,0.245665,0.536058,0.213163,0.118064,0.502614,0.225373,0.338866,0.293750,0.437073,0.429779,0.377288,0.399446,1.522730,0.783797,0.202665,0.168169,0.173894,0.597318,0.550718,0.756746,0.408621,0.144457,0.320103,0.147552,3.069338,3.401467
54,0.205794,0.216654,0.262546,0.388269,0.218324,0.944612,0.411633,0.262450,0.683625,0.147235,0.169808,0.473581,0.221265,0.336444,0.296563,0.335723,0.377552,0.288990,0.651664,0.133181,0.290482,0.404015,0.205678,0.170659,0.432997,0.269106,0.283344,0.283942,0.443631,0.426085,0.389232,0.277414,1.082773,0.403630,0.183633,0.154923,0.159983,0.487534,0.255456,0.451224,0.514413,0.256453,0.189804,0.190074,1.986761,1.168820
55,0.423563,0.193457,0.393086,0.178631,0.302252,1.265590,0.526387,0.333366,0.980444,0.134878,0.212302,0.312520,0.237936,0.322230,0.254037,0.316427,0.406243,0.239078,1.086172,0.522844,0.186185,0.194060,0.179386,0.142708,0.462744,0.262150,0.292077,0.332037,0.473678,0.339341,0.383183,0.357147,0.783979,0.430432,0.147015,0.150385,0.124135,0.532999,0.230059,0.973553,1.598813,0.305713,0.240142,0.419537,1.618386,0.440387
56,0.491777,0.215905,0.408798,0.294089,0.254881,0.994897,0.363989,0.317578,1.314841,0.139386,0.149517,0.279155,0.242021,0.339030,0.281256,0.367589,0.418791,0.249579,0.687859,0.574367,0.258862,0.272500,0.221223,0.127584,0.406849,0.332611,0.304628,0.284790,0.452615,0.370303,0.535100,0.258561,0.646894,0.419738,0.188490,0.155582,0.202577,0.471307,0.247867,1.195030,0.381683,0.362388,0.235546,0.428767,1.235917,0.315897
57,0.426912,0.225858,0.363408,0.234702,0.309016,1.393368,0.636068,0.545178,1.383770,0.138984,0.157841,0.381373,0.228119,0.341170,0.277536,0.386594,0.406565,0.251181,0.674132,0.516351,0.164934,0.252278,0.232314,0.131212,0.400331,0.357431,0.304075,0.254302,0.426708,0.385142,0.596783,0.282330,0.610012,0.516719,0.187155,0.167277,0.224950,0.489426,0.638817,1.124945,0.910799,0.247018,0.176239,0.416288,1.334042,0.700703
58,0.306898,0.253248,0.344883,0.183449,0.293486,1.450417,0.775932,0.513946,0.826408,0.140664,0.150782,0.362057,0.198782,0.334644,0.255906,0.407803,0.392511,0.206894,0.587462,0.423446,0.213096,0.205501,0.222840,0.218369,0.383732,0.399209,0.307596,0.290045,0.421427,0.366264,0.540066,0.328457,0.772094,0.373451,0.170953,0.155268,0.169486,0.771573,0.772710,1.083313,0.441602,0.133679,0.167733,0.135592,1.507501,0.718930
