bone,epoch,metric,v9,v10,delta(v10-v9)
calf_r,3,GeoDeg,0.5038734614849091,0.9087108850479126,0.40483742356300356
calf_r,3,GeoLocalDeg,0.6573192715644837,0.9067136526107789,0.2493943810462952
calf_r,4,GeoDeg,0.700920295715332,0.6396197557449341,-0.06130053997039786
calf_r,4,GeoLocalDeg,0.6808897256851196,0.5947930574417114,-0.08609666824340823
calf_r,5,GeoDeg,0.8162379384040832,0.7821120142936706,-0.0341259241104126
calf_r,5,GeoLocalDeg,0.8081259846687316,0.7372639656066895,-0.07086201906204215
calf_r,6,GeoDeg,1.116734552383423,0.6950363397598267,-0.4216982126235962
calf_r,6,GeoLocalDeg,1.0648244500160218,0.6749350666999817,-0.38988938331604006
calf_r,7,GeoDeg,0.6317105054855346,0.597395658493042,-0.034314846992492654
calf_r,7,GeoLocalDeg,0.5849623203277587,0.5453743219375611,-0.039587998390197665
calf_r,8,GeoDeg,0.5456639647483825,0.5003714978694915,-0.04529246687889099
calf_r,8,GeoLocalDeg,0.5046370685100555,0.4592490613460541,-0.04538800716400143
calf_r,9,GeoDeg,0.6868195533752441,0.6343790292739868,-0.052440524101257324
calf_r,9,GeoLocalDeg,0.6104404330253601,0.5399186849594116,-0.07052174806594846
calf_r,10,GeoDeg,0.7188566207885743,0.6507416248321534,-0.0681149959564209
calf_r,10,GeoLocalDeg,0.6604509115219116,0.5618411660194397,-0.09860974550247192
calf_r,11,GeoDeg,0.8634444594383239,0.6631292223930358,-0.20031523704528809
calf_r,11,GeoLocalDeg,0.7837812304496765,0.5930126905441284,-0.1907685399055481
calf_r,12,GeoDeg,0.8828441262245178,0.628206467628479,-0.2546376585960388
calf_r,12,GeoLocalDeg,0.8063441276550293,0.5810280799865722,-0.22531604766845703
foot_l,1,GeoDeg,2.270232391357422,4.456190299987793,2.185957908630371
foot_l,1,GeoLocalDeg,1.845500683784485,4.467114543914795,2.6216138601303096
foot_l,2,GeoDeg,1.1335383176803588,1.039996290206909,-0.09354202747344975
foot_l,2,GeoLocalDeg,1.1511982202529907,1.0198593258857727,-0.13133889436721802
foot_l,3,GeoDeg,0.8797690510749817,0.7337894678115845,-0.14597958326339722
foot_l,3,GeoLocalDeg,1.095091962814331,0.8147704482078553,-0.2803215146064757
foot_l,4,GeoDeg,0.557555639743805,0.6880658268928528,0.13051018714904783
foot_l,4,GeoLocalDeg,0.6210830092430115,0.6764212250709534,0.05533821582794185
foot_l,5,GeoDeg,0.7619410872459411,0.6342830061912537,-0.12765808105468746
foot_l,5,GeoLocalDeg,0.7338914036750793,0.7182921767234802,-0.015599226951599099
foot_l,6,GeoDeg,0.674114716053009,0.6053265333175659,-0.06878818273544307
foot_l,6,GeoLocalDeg,0.644971239566803,0.6874493479728698,0.042478108406066806
foot_l,7,GeoDeg,0.617170763015747,0.5575197100639343,-0.05965105295181272
foot_l,7,GeoLocalDeg,0.6555888533592225,0.5585767388343811,-0.09701211452484138
foot_l,8,GeoDeg,0.596919059753418,0.4942744016647339,-0.10264465808868406
foot_l,8,GeoLocalDeg,0.6682578206062317,0.5084079086780549,-0.15984991192817688
foot_l,9,GeoDeg,0.6522114634513855,0.597313129901886,-0.05489833354949947
foot_l,9,GeoLocalDeg,0.686318826675415,0.5949940204620361,-0.0913248062133789
foot_l,10,GeoDeg,0.655757462978363,0.788044810295105,0.13228734731674197
foot_l,10,GeoLocalDeg,0.6901499271392822,0.7716575741767884,0.08150764703750613
foot_l,11,GeoDeg,0.5809749007225037,0.9064786195755005,0.3255037188529968
foot_l,11,GeoLocalDeg,0.5454509258270264,0.8937655329704285,0.3483146071434021
foot_l,12,GeoDeg,0.6479480743408204,0.9342321276664733,0.286284053325653
foot_l,12,GeoLocalDeg,0.650122058391571,0.9144384026527405,0.26431634426116946
foot_r,1,GeoDeg,1.4440006732940673,2.366972255706787,0.9229715824127196
foot_r,1,GeoLocalDeg,1.1986968278884889,2.2824867248535154,1.0837898969650266
